매장명,주소,lat,lon
GS25S6화랑대역점,"서울 노원구 화랑로지하 510, 지하철 역사 내 (공릉동 285-2)",37.61988307,127.08319843
GS25S6효창공원앞역점,"서울 용산구 백범로지하 287, 6호선 효창공원앞역 지하1층 (효창동)",37.53961476,126.9609671
GS25S8가락시장역점,"서울 송파구 송파대로지하 257, 8호선 지하철 역사 (가락동 184-23)",37.49292916,127.11805624
GS25S8강동구청역점,"서울 강동구 올림픽로지하 550, 8호선 지하철 역사 내 (성내동)",37.53066612,127.1205538
GS25S8몽촌토성역점,"서울 송파구 올림픽로지하 383, 신천동 8호선 지하철 역사 (신천동 19)",37.51695061,127.11073742
GS25S8문정역점,서울 송파구 장지동56번지 8호선 지하철 역사 내부,37.48412198,127.13706552
GS25S8복정역점,서울 송파구 장지동600 8호선지하철역사 내,37.47231845,127.12852993
GS25S8석촌역점,"서울 송파구 송파대로지하 439, 8호선 지하철 역사 (석촌동 209)",37.50680082,127.10545134
GS25S8송파역점,"서울 송파구 송파대로지하 354, (8호선 지하철 역사내) (가락동 459-4)",37.4997426,127.11223083
GS25S8암사역점,"서울 강동구 올림픽로지하 776, 지하철 8호선 암사역 역사 내 (암사동 501)",37.55115868,127.12818997
GS25S8장지역점,서울 송파구 송파대로지하 82 (장지동 201-5),37.47764679,127.12650077
GS25S9가양역점,서울 강서구 양천로지하 485 (가양동 14-61),37.56175445,126.85398007
GS25S9개화역점,"서울 강서구 개화동로8길38, 내 지하층 (개화동 388-1, 개화역사)",37.58043969,126.79495756
GS25S9고속터미널역점,서울 서초구 신반포로지하 188 (반포동 19-11),37.50480652,127.00482457
GS25S9공항시장역점,"서울 강서구 방화동로지하 30 (공항동 산20-2, 공항시장역내)",37.56351488,126.81060139
GS25S9구반포역점,"서울 서초구 신반포로지하 17, 구반포역 역사 내 (반포동 817)",37.50162889,126.98611511
GS25S9국회의사당역점,"서울 영등포구 국회대로지하 758, 지하철역 (여의도동 1-6)",37.52740293,126.91851807
GS25S9김포공항역점,"서울 강서구 하늘길지하 77, 김포공항역 지하 (방화동 886)",37.56680295,126.80251229
GS25S9노들역점,"서울 동작구 노량진로지하 238, 노들역 역사 내 (본동 475-1)",37.514267,126.95367195
GS25S9노량진역점,서울 동작구 노량진로지하 130 (노량진동 60-11),37.51350473,126.94093448
GS25S9당산역점,"서울 영등포구 양평로지하 40, 당산역 내부  (당산동6가 227-1)",37.53381048,126.90204204
GS25S9동작역점,서울 동작구 현충로지하 220 (동작동 326),37.50308377,126.97823498
GS25S9등촌역점,"서울 강서구 공항대로지하 529 (등촌동 666-94, 등촌역 내)",37.55112705,126.86473566
GS25S9마곡나루역점,"서울 강서구 마곡중앙5로지하 2 (마곡동 760-3, 마곡나루역내)",37.56679254,126.82750583
GS25S9봉은사역점,"서울 강남구 봉은사로지하 601, , 9호선봉은사역 내 (삼성동 111-8)",37.51442446,127.06028283
GS25S9사평역점,서울 서초구 사평대로지하 285 (반포동 128-7),37.50398219,127.01397412
GS25S9삼성중앙역점,서울 강남구 봉은사로지하 501 (삼성동 111-147),37.51164542,127.04855386
GS25S9삼전역점,"서울 송파구 백제고분로187 (잠실동 250-5, 파크인-수)",37.50477315,127.0877409
GS25S9샛강역점,서울 영등포구 의사당대로지하 166 (여의도동 5-6),37.51714398,126.92983115
GS25S9석촌역점,"서울 송파구 송파대로지하 439, 지하철9호선 석촌역 (석촌동 209)",37.50680082,127.10545134
GS25S9선유도역점,"서울 영등포구 양평로지하 124, 선유도역 내부 (양평동5가 66-1)",37.53852935,126.89404085
GS25S9송파나루역점,"서울 송파구 송파동3, 지하철 9호선 송파나루역",37.50966154,127.11200026
GS25S9신논현역점,"서울 강남구 봉은사로지하 102, 9호선 신논현역 지하 상가 (역삼동)",37.50662704,127.03197969
GS25S9신목동역점,"서울 양천구 목동중앙로지하 217 (목동 136-2, 신목동역 내)",37.5446684,126.8828716
GS25S9신반포역점,"서울 서초구 신반포로지하 105, 신반포역 역사 내 (반포동 128-1)",37.50373883,126.99684249
GS25S9신방화역점,"서울 강서구 방화대로지하 301 (방화동 217-156, 신방화역 내)",37.56745253,126.81599481
GS25S9양천향교역점,서울 강서구 양천로지하 341 (가양동 159-3),37.5686537,126.8407887
GS25S9언주역점,"서울 강남구 봉은사로지하 201, 지하 1층 926-1호  (논현동 279-165, 9호선 언주역)",37.50748345,127.03423077
GS25S9여의도역점,서울 영등포구 의사당대로지하 101 (여의도동 2-6),37.52280338,126.92298519
GS25S9염창역점,서울 강서구 공항대로지하 631 (염창동 284-84),37.54706406,126.87516324
GS25S9올림픽공원역점,서울 송파구 방이동88-26 지하철9호선 올림픽공원역 B1층,37.51619484,127.13024844
GS25S9종합운동장역점,"서울 송파구 올림픽로지하 23, 9호선 종합운동장역 역사 (잠실동 122)",37.51110199,127.07428261
GS25S9중앙보훈병원역점,서울 강동구 둔촌동6-3 9호선 중앙보훈병원역 B1층,37.52913299,127.1486533
GS25S9증미역점,"서울 강서구 양천로지하 560 (등촌동 666-40, 증미역내)",37.55753886,126.86155986
GS25S9한성백제역점,"서울 송파구 위례성대로51, 지하철9호선 한성백제역 지하1층 (방이동 88-21)",37.5177242,127.1165654
GS25S9흑석역점,"서울 동작구 현충로지하 90, 9호선 흑석역 역사내 (흑석동 4)",37.50851093,126.96407906
